gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
PCSK5	2385	5125	GuideToPharmacologyInteractions	inhibitor	6564	PHENYLACETYL-ARG-VAL-ARG-4-AMIDINOBENZYLAMIDE	CHEMBL566340	CHEMBL566340	
PCSK9	TTDR01439	255738	TTD	antisense	DPR000173	BMS-PCSK9			
MGAM	2627	8972	GuideToPharmacologyInteractions	inhibitor	4842	MIGLITOL	MIGLITOL	CHEMBL1561	
THRA	TTDS00381	7067	TTD	antagonist	DAP000083	LEVOTHYROXINE			
FGFR2	1809	2263	GuideToPharmacologyInteractions	agonist	6954	PALIFERMIN	PALIFERMIN	CHEMBL1201821	
NR1H3	602	10062	GuideToPharmacologyInteractions	antagonist	8690	GSK2033	CHEMBL1093266	CHEMBL1093266	
SLC5A1	TTDC00260	6523	TTD	blocker	DCL000412	GSK1614235			
ITPR3	745	3710	GuideToPharmacologyInteractions	antagonist	2459	DECAVANADATE	SODIUM ORTHOVANAD	CHEMBL179166	
LPAR1	272	1902	GuideToPharmacologyInteractions	agonist	6983	OLEOYL-THIOPHOSPHATE			
KCNN4	384	3783	GuideToPharmacologyInteractions	inhibitor	2336	TRAM-34	CHEMBL498270	CHEMBL498270	
KCNH5	EAG2	27133	ChemblInteractions	blocker	CHEMBL1200728	GUANIDINE HYDROCHLORIDE	GUANIDINE HYDROCHLORIDE	CHEMBL1200728	
TNFRSF8	TNFRSF8	943	MyCancerGenome	antibody	BRENTUXIMAB	BRENTUXIMAB	BRENTUXIMAB VEDOTIN	CHEMBL1742994	
METAP1D	MAP1D	254042	ChemblInteractions	inhibitor	CHEMBL2103847	TOSEDOSTAT	TOSEDOSTAT	CHEMBL2103847	
GRIN1	NMDAR1	2902	ChemblInteractions	blocker	CHEMBL2107647	LANICEMINE	LANICEMINE	CHEMBL2107647	
ARG2	1245	384	GuideToPharmacologyInteractions	inhibitor	9017	COMPOUND 9 [PMID: 23472952]			
NOTCH3	NOTCH3	4854	MyCancerGenome	antibody	REGN421	REGN421	REGN-421	CHEMBL2109383	
CYP26A1	1366	1592	GuideToPharmacologyInteractions	inhibitor	8790	COMPOUND 5 [PMID: 21838328]			
KLK4	TTDC00028	9622	TTD	inhibitor	DCL000019	DERMOLASTIN	CHEMBL27885	CHEMBL27885	
SCN1A	578	6323	GuideToPharmacologyInteractions	gating inhibitor	2613	AFT-II			
EEF2K	2014	29904	GuideToPharmacologyInteractions	inhibitor	8743	COMPOUND 34 [PMID: 20189382]			
GRIK2	451	2898	GuideToPharmacologyInteractions	agonist	4181	DOMOIC ACID	DOMOIC ACID	CHEMBL1232313	
IL18	TTDC00221	3606	TTD	binder	DCL000842	IL-18BP			
S1PR3	EDG3	1903	ChemblInteractions	modulator	CHEMBL3707374	AMISELIMOD HYDROCHLORIDE	AMISELIMOD HYDROCHLORIDE	CHEMBL3707374	
SENP1	2414	29843	GuideToPharmacologyInteractions	inhibitor	8780	COMPOUND 8E [PMID: 23044371]			
ABCC1	TTDS00288	4363	TTD	modulator	DAP000794	SULFINPYRAZONE	SULFINPYRAZONE	CHEMBL832	
SLC22A11	1030	55867	GuideToPharmacologyInteractions	inhibitor	8798	CEPHALOTHIN	CEPHALOTHIN	CHEMBL617	
ANGPT1	KIAA0003	284	ChemblInteractions	inhibitor	CHEMBL2108568	TREBANANIB	TREBANANIB	CHEMBL2108568	
CNGA3	396	1261	GuideToPharmacologyInteractions	inhibitor	2349	L-(CIS)-DILTIAZEM			
MAP4K4	2088	9448	GuideToPharmacologyInteractions	inhibitor	8135	COMPOUND 21 [PMID: 23312943]			
KCNJ9	436	3765	GuideToPharmacologyInteractions	activator	2387	PIP2	CHEMBL99951	CHEMBL99951	
CALCRL	48	10203	GuideToPharmacologyInteractions	antibody	9250	ERENUMAB	ERENUMAB	CHEMBL3833329	
SLC23A2	TTDS00513	9962	TTD	activator	DAP000873	URSODEOXYCHOLIC ACID	URSODIOL	CHEMBL1551	
PYGB	TTDC00099	5834	TTD	inhibitor	DCL000202	PSN357	SIVELESTAT	CHEMBL76688	
ITGAL	CD11A	3683	ChemblInteractions	inhibitor	CHEMBL2109177	ODULIMOMAB	ODULIMOMAB	CHEMBL2109177	
TPO	2526	7173	GuideToPharmacologyInteractions	inhibitor	6649	METHIMAZOLE	METHIMAZOLE	CHEMBL1515	
CD4	TTDC00265	920	TTD	binder	DCL001123	TNX-355	IBALIZUMAB	CHEMBL1743029	
ATP1B1	ATP1B	481	ChemblInteractions	inhibitor	CHEMBL1751	DIGOXIN	DIGOXIN	CHEMBL1751	
LPAR4	94	2846	GuideToPharmacologyInteractions	agonist	2906	LPA			
IDH2	2885	3418	GuideToPharmacologyInteractions	inhibitor	8960	ENASIDENIB			
FZD2	FZD2	2535	ChemblInteractions	antagonist	CHEMBL2364652	VANTICTUMAB	VANTICTUMAB	CHEMBL2364652	
NPR2	1748	4882	GuideToPharmacologyInteractions	antagonist	9162	COMPOUND C10 [PMID: 24297249]			
ERBB3	HER3	2065	ChemblInteractions	antagonist	CHEMBL2109402	MM-121	MM-121	CHEMBL2109402	
CACNG7	CACNG7	59284	ChemblInteractions	blocker	CHEMBL1200382	BEPRIDIL HYDROCHLORIDE	BEPRIDIL HYDROCHLORIDE	CHEMBL1200382	
MAP3K3	2078	4215	GuideToPharmacologyInteractions	inhibitor	8208	COMPOUND 5N [PMID: 20483621]			
STK16	2213	8576	GuideToPharmacologyInteractions	inhibitor	8210	COMPOUND 27 [PMID: 21123062]			
ACACB	TTDS00357	32	TTD	activator	DAP000205	METFORMIN	METFORMIN	CHEMBL1431	
BMP1	2333	649	GuideToPharmacologyInteractions	inhibitor	8562	COMPOUND 2 [PMID: 11934595]			
ADAM12	1660	8038	GuideToPharmacologyInteractions	inhibitor	7409	ILOMASTAT	ILOMASTAT	CHEMBL19611	
CHRNA4	465	1137	GuideToPharmacologyInteractions	channel blocker	3990	MECAMYLAMINE			
GABRG3	GABRG3	2567	ChemblInteractions	partial agonist	CHEMBL2103791	ADIPIPLON	ADIPIPLON	CHEMBL2103791	
GRM3	291	2913	GuideToPharmacologyInteractions	allosteric modulator	6223	COMPOUND 3 [PMID: 21105727]			
KDM4C	2677	23081	GuideToPharmacologyInteractions	inhibitor	8230	IOX1	VASOPRESSIN TANNATE	CHEMBL1201528	
KCNS1	KCNS1	3787	ChemblInteractions	blocker	CHEMBL1200728	GUANIDINE HYDROCHLORIDE	GUANIDINE HYDROCHLORIDE	CHEMBL1200728	
TOP2B	TTDS00080	7155	TTD	binder	DAP001500	NOVOBIOCINE	NOVOBIOCIN	CHEMBL36506	
AGTR1	TTDS00267	185	TTD	blocker	DCL001236	S-474474			
ANGPT2	TTDC00210	285	TTD	antibody	DCL001208	MEDI3617	MEDI-3617	CHEMBL2109298	
TNFSF14	HVEML	8740	ChemblInteractions	inhibitor	CHEMBL1742988	BAMINERCEPT	BAMINERCEPT	CHEMBL1742988	
SCN9A	584	6335	GuideToPharmacologyInteractions	channel blocker	5732	XEN907			
SLC5A3	924	6526	GuideToPharmacologyInteractions	inhibitor	4757	PHLORIZIN	PHLORIZIN	CHEMBL245067	
KCNJ3	434	3760	GuideToPharmacologyInteractions	channel blocker	7704	AZD2927			
PTH1R	PTHR	5745	ChemblInteractions	agonist	CHEMBL2108078	PARATHYROID HORMONE	PARATHYROID HORMONE	CHEMBL2108078	
TOP1MT	TOP1MT	116447	ChemblInteractions	inhibitor	CHEMBL1607	TOPOTECAN HYDROCHLORIDE	TOPOTECAN HYDROCHLORIDE	CHEMBL1607	
IL2RG	IL2RG	3561	ChemblInteractions	agonist	CHEMBL1201438	HUMAN INTERLEUKIN-2	HUMAN INTERLEUKIN-2	CHEMBL1201438	
CXCR4	CXCR4	7852	ChemblInteractions	partial agonist	CHEMBL18442	PLERIXAFOR	PLERIXAFOR	CHEMBL18442	
MUT	TTDS00482	4594	TTD	cofactor	DAP001336	HYDROXOCOBALAMIN	HYDROXOCOBALAMIN	CHEMBL2103737	
CLCNKA	700	1187	GuideToPharmacologyInteractions	channel blocker	4104	3-PHENYL-CPP			
CA3	CA3	761	ChemblInteractions	inhibitor	CHEMBL18	ETHOXZOLAMIDE	ETHOXZOLAMIDE	CHEMBL18	
KLK2	2372	3817	GuideToPharmacologyInteractions	inhibitor	8672	HK2P01 DERIVATIVE KLK2 INHIBITOR			
TGFB2	TGFB2	7042	TALC	antibody	FRESOLIMUMAB	FRESOLIMUMAB	FRESOLIMUMAB	CHEMBL1743022	
LTB4R2	268	56413	GuideToPharmacologyInteractions	antagonist	3351	LY255283	LY-255283	CHEMBL15766	
APH1B	TTDC00051	83464	TTD	modulator	DCL000107	E2012	CHEMBL3186227	CHEMBL3186227	
CDKN1A	1784	1026	GuideToPharmacologyInteractions	inhibitor	8481	LDN-214117			
RYR1	747	6261	GuideToPharmacologyInteractions	activator	1728	SURAMIN	SURAMIN	CHEMBL265502	
CCND1	BCL1	595	ChemblInteractions	inhibitor	CHEMBL189963	PALBOCICLIB	PALBOCICLIB	CHEMBL189963	
EDN1	1906	1906	GuideToPharmacologyInteractions	agonist	5880	IL-33	ETIOCHOLANOLONE	CHEMBL85799	
SLC25A4	1062	291	GuideToPharmacologyInteractions	inhibitor	4572	CARBOXYATRACTYLOSIDE			
GABRP	GABRP	2568	ChemblInteractions	agonist	CHEMBL979	MEPROBAMATE	MEPROBAMATE	CHEMBL979	
PSME4	PSME4	23198	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
GUCY1A2	GUC1A2	2977	ChemblInteractions	positive allosteric modulator	CHEMBL2107834	RIOCIGUAT	RIOCIGUAT	CHEMBL2107834	
ITGB7	ITGB7	3695	ChemblInteractions	inhibitor	CHEMBL1743087	VEDOLIZUMAB	VEDOLIZUMAB	CHEMBL1743087	
KCNK3	515	3777	GuideToPharmacologyInteractions	channel blocker	2506	R-(+)-METHANANDAMIDE	METHANANDAMIDE	CHEMBL120526	
SLC5A11	925	115584	GuideToPharmacologyInteractions	inhibitor	4757	PHLORIZIN	PHLORIZIN	CHEMBL245067	
FPR3	224	2359	GuideToPharmacologyInteractions	antagonist	1040	WRWWWW			
PDGFRA	PDGFR2	5156	ChemblInteractions	agonist	CHEMBL1201556	BECAPLERMIN	BECAPLERMIN	CHEMBL1201556	
MLKL	2106	197259	GuideToPharmacologyInteractions	inhibitor	9513	MLKL COMPOUND 1			
INPP5A	1453	3632	GuideToPharmacologyInteractions	inhibitor	8844	"COMPOUND 5 [NOBLE ET AL., 1992]"			
KCNB1	546	3745	GuideToPharmacologyInteractions	"activator,channel blocker"	1052	LINOLEIC ACID	LINOLEIC ACID	CHEMBL267476	
ITGA2B	GP2B	3674	ChemblInteractions	inhibitor	CHEMBL1704	TIROFIBAN HYDROCHLORIDE	TIROFIBAN HYDROCHLORIDE	CHEMBL1704	
PGF	TTDC00176	5228	TTD	antibody	DCL000618	R7334	CHEMBL7261	CHEMBL7261	
SLC34A2	1136	10568	GuideToPharmacologyInteractions	antibody	8405	LIFASTUZUMAB VEDOTIN	PRIMAQUINE	CHEMBL506	
CHRNA4	NACRA4	1137	ChemblInteractions	modulator	CHEMBL3707354	ABT-560	ABT-560	CHEMBL3707354	
EPCAM	EP-CAM	4072	TALC	antibody	MT110	MT110			
STAT3	TTDR01387	6774	TTD	antisense	DPR000181	ISIS-STAT3			
S1PR2	EDG5	9294	ChemblInteractions	modulator	CHEMBL3707374	AMISELIMOD HYDROCHLORIDE	AMISELIMOD HYDROCHLORIDE	CHEMBL3707374	
KCNB1	KCNB1	3745	ChemblInteractions	blocker	CHEMBL113461	TEDISAMIL	TEDISAMIL	CHEMBL113461	
GUCY2C	1750	2984	GuideToPharmacologyInteractions	antibody	8718	INDUSATUMAB VEDOTIN			
DIO1	2883	1733	GuideToPharmacologyInteractions	antibody	8932	VX15/2503			
BRD4	1945	23476	GuideToPharmacologyInteractions	antagonist	7034	RVX 208	APABETALONE	CHEMBL2393130	
TBXA2R	TTDS00395	6915	TTD	binder	DAP000469	RIDOGREL	RIDOGREL	CHEMBL280728	
GPR87	122	53836	GuideToPharmacologyInteractions	antagonist	2916	DIOCTANOYLGLYCEROL PYROPHOSPHATE			
CXCR4	71	7852	GuideToPharmacologyInteractions	antibody	9161	ULOCUPLUMAB	ULOCUPLUMAB	CHEMBL3039543	
SLC40A1	1194	30061	GuideToPharmacologyInteractions	antibody	8416	LY2928057			
IL11RA	IL11RA	3590	ChemblInteractions	agonist	CHEMBL1201573	OPRELVEKIN	OPRELVEKIN	CHEMBL1201573	
CLU	CLU	1191	CancerCommons	inhibitor	OGX-011	OGX-011	CUSTIRSEN	CHEMBL2108309	
SCN5A	582	6331	GuideToPharmacologyInteractions	inhibitor	8413	ELECLAZINE	ELECLAZINE	CHEMBL3707392	
AMH	464	268	GuideToPharmacologyInteractions	channel blocker	3963	HEXAMETHONIUM	HEXAMETHONIUM	CHEMBL100622	
GRIK3	GLUR7	2899	ChemblInteractions	antagonist	CHEMBL3545042	Selurampanel	Selurampanel	CHEMBL3545042	
PTEN	PTEN	5728	MyCancerGenomeClinicalTrial	inhibitor	1372540-25-4	1372540-25-4	GSK-2636771	CHEMBL3188551	
EPAS1	TTDR01423	2034	TTD	antisense	DCL001182	EZN-2968			
PRMT7	1258	54496	GuideToPharmacologyInteractions	inhibitor	8395	DS-437			
KCND2	KIAA1044	3751	ChemblInteractions	blocker	CHEMBL284348	DALFAMPRIDINE	DALFAMPRIDINE	CHEMBL284348	
MYL7	MYL2A	58498	ChemblInteractions	activator	CHEMBL1800955	OMECAMTIV MECARBIL	OMECAMTIV MECARBIL	CHEMBL1800955	
ADAMTS1	1674	9510	GuideToPharmacologyInteractions	inhibitor	8663	COMPOUND 12C [PMID: 16516466]			
HTR2A	HTR2	3356	ChemblInteractions	inverse agonist	CHEMBL2448613	PIMAVANSERIN TARTRATE	PIMAVANSERIN TARTRATE	CHEMBL2448613	
SIRT5	2711	23408	GuideToPharmacologyInteractions	inhibitor	8823	"COMPOUND 2 [MAURER ET AL., 2012]"			
AQP1	688	358	GuideToPharmacologyInteractions	activator	2347	CYCLIC GMP	CHEMBL395336	CHEMBL395336	
GABRA4	GABRA4	2557	ChemblInteractions	partial agonist	CHEMBL2103791	ADIPIPLON	ADIPIPLON	CHEMBL2103791	
STK11	2212	6794	GuideToPharmacologyInteractions	antibody	9094	LANADELUMAB	LANADELUMAB	CHEMBL3545189	
CASP12	CASP12	100506742	ChemblInteractions	inhibitor	CHEMBL197672	EMRICASAN	EMRICASAN	CHEMBL197672	
IGHE	2741	3497	GuideToPharmacologyInteractions	antibody	8998	QUILIZUMAB	QUILIZUMAB	CHEMBL2109456	
TDO2	2887	6999	GuideToPharmacologyInteractions	inhibitor	9016	LM10			
ANO1	708	55107	GuideToPharmacologyInteractions	inhibitor	7453	CROFELEMER	CROFELEMER	CHEMBL2108184	
RARB	HAP	5915	ChemblInteractions	modulator	CHEMBL146506	MOFAROTENE	MOFAROTENE	CHEMBL146506	
FOXS1	2307	2307	GuideToPharmacologyInteractions	agonist	4994	IL-3			
KCNJ3	434	3760	GuideToPharmacologyInteractions	activator	7768	ML297	CHEMBL2409106	CHEMBL2409106	
ITGB2	CD18	3689	ChemblInteractions	negative modulator	CHEMBL2109095	ERLIZUMAB	ERLIZUMAB	CHEMBL2109095	
LTB4R	TTDC00129	1241	TTD	binder	DCL000070	BIOMED 101	SC-41390	CHEMBL14823	
CDKL2	1983	8999	GuideToPharmacologyInteractions	inhibitor	8106	URMC-099			
CDK3	1975	1018	GuideToPharmacologyInteractions	inhibitor	7744	RGB-286638	RGB-286638	CHEMBL3545083	
GRIN3A	KIAA1973	116443	ChemblInteractions	blocker	CHEMBL41306	CNS-5161	CNS-5161	CHEMBL41306	
KCNK13	523	56659	GuideToPharmacologyInteractions	inhibitor	2401	HALOTHANE	HALOTHANE	CHEMBL931	
C9ORF3	C9orf3	84909	ChemblInteractions	inhibitor	CHEMBL2103847	TOSEDOSTAT	TOSEDOSTAT	CHEMBL2103847	
CHUK	1989	1147	GuideToPharmacologyInteractions	inhibitor	9398	PHA-408	CHEMBL592893	CHEMBL592893	
GJD2	724	57369	GuideToPharmacologyInteractions	inhibitor	707	CA2+	cA2	CHEMBL2109588	
SLC12A6	973	9990	GuideToPharmacologyInteractions	inhibitor	4589	DIOA			
RAB27A	2916	5873	GuideToPharmacologyInteractions	inhibitor	9419	NEXINHIB20			
CD3E	T3E	916	ChemblInteractions	inhibitor	CHEMBL1201608	MUROMONAB-CD3	MUROMONAB-CD3	CHEMBL1201608	
HTR1A	TTDS00098	3350	TTD	binder	DCL000732	BTS-79018	CHEMBL418854	CHEMBL418854	
APOH	TTDC00264	350	TTD	inhibitor	DCL000871	LJP-1082			
FGF1	FGFA	2246	ChemblInteractions	inhibitor	CHEMBL1615835	MUPARFOSTAT	MUPARFOSTAT (CHEMBL1615835)	CHEMBL1615835	
CACNB3	CACNLB3	784	ChemblInteractions	blocker	CHEMBL1200382	BEPRIDIL HYDROCHLORIDE	BEPRIDIL HYDROCHLORIDE	CHEMBL1200382	
FES	2023	2242	GuideToPharmacologyInteractions	inhibitor	8137	COMPOUND 8E [PMID: 24432909]			
PLD2	1434	5338	GuideToPharmacologyInteractions	inhibitor	8781	FIPI			
MYH7B	KIAA1512	57644	ChemblInteractions	activator	CHEMBL1800955	OMECAMTIV MECARBIL	OMECAMTIV MECARBIL	CHEMBL1800955	
LY96	2890	23643	GuideToPharmacologyInteractions	inhibitor	9027	L6H21			
CTSB	2343	1508	GuideToPharmacologyInteractions	inhibitor	9298	LHVS	CHEMBL222649	CHEMBL222649	
IFNG	TTDC00096	3458	TTD	binder	DCL000809	FUMARIC ACID	FUMARIC ACID	CHEMBL503160	
IFNLR1	1904	163702	GuideToPharmacologyInteractions	agonist	4992	IFN-λ3	PYRILAMINE	CHEMBL511	
CHRNA2	463	1135	GuideToPharmacologyInteractions	allosteric modulator	3992	LY2087101			
STK32B	1538	55351	GuideToPharmacologyInteractions	inhibitor	8219	COMPOUND 74 [PMID: 24793884]			
ATP6V1A	TTDS00427	523	TTD	inhibitor	DPR000033	CRUENTAREN			
IFNA1	TTDR00332	3439	TTD	antibody	DCL001230	RONTALIZUMAB	RONTALIZUMAB	CHEMBL1743066	
S1PR5	EDG8	53637	ChemblInteractions	modulator	CHEMBL3707374	AMISELIMOD HYDROCHLORIDE	AMISELIMOD HYDROCHLORIDE	CHEMBL3707374	
CH25H	CYP3A3	9023	ChemblInteractions	inhibitor	CHEMBL281764	TABIMORELIN	TABIMORELIN	CHEMBL281764	
SLC12A4	971	6560	GuideToPharmacologyInteractions	inhibitor	4589	DIOA			
NT5E	1232	4907	GuideToPharmacologyInteractions	inhibitor	5092	αβ-METHYLENEADP	ROLIPRAM	CHEMBL63	
CASP6	MCH2	839	ChemblInteractions	inhibitor	CHEMBL197672	EMRICASAN	EMRICASAN	CHEMBL197672	
GRIA1	TTDC00250	2890	TTD	binder	DCL000801	FARAMPATOR	FARAMPATOR	CHEMBL1276138	
FLT1	FLT	2321	ChemblInteractions	agonist	CHEMBL2108557	TELBERMIN	TELBERMIN	CHEMBL2108557	
PTGIS	1356	5740	GuideToPharmacologyInteractions	inhibitor	8795	COMPOUND 7P [PMID: 7861416]			
IFNG	TTDC00096	3458	TTD	inhibitor	DCL000095	CRX-191			
AGRP	TTDR00096	181	TTD	inhibitor	DCL001249	TTP435			
NDUFAF2	NDUFA12L	91942	ChemblInteractions	inhibitor	CHEMBL1703	METFORMIN HYDROCHLORIDE	METFORMIN HYDROCHLORIDE	CHEMBL1703	
CACNB4	CACNLB4	785	ChemblInteractions	blocker	CHEMBL1200382	BEPRIDIL HYDROCHLORIDE	BEPRIDIL HYDROCHLORIDE	CHEMBL1200382	
PRMT3	1254	10196	GuideToPharmacologyInteractions	allosteric modulator	8552	SGC707			
CPT1B	TTDS00433	1375	TTD	activator	DAP000958	L-CARNITINE	LEVOCARNITINE	CHEMBL1149	
RXRG	NR2B3	6258	ChemblInteractions	modulator	CHEMBL146506	MOFAROTENE	MOFAROTENE	CHEMBL146506	
HTR1D	3	3352	GuideToPharmacologyInteractions	allosteric modulator	137	5-HT-MODULINE	AMINOLEVULINIC ACID	CHEMBL601	
PRLR	1721	5618	GuideToPharmacologyInteractions	agonist	4893	CHORIOMAMMOTROPIN	PRAZOSIN	CHEMBL2	
TRPV6	512	55503	GuideToPharmacologyInteractions	channel blocker	2434	LA3+			
RAF1	TTDC00310	5894	TTD	antisense	DCL001059	ICO-007			
SCN3A	580	6328	GuideToPharmacologyInteractions	activator	2619	BATRACHOTOXIN			
P2RX2	479	22953	GuideToPharmacologyInteractions	antagonist	9546	NF778			
TGFB2	TTDC00272	7042	TTD	antisense	DCL001058	AP12009			
CSF1R	1806	1436	GuideToPharmacologyInteractions	antibody	9106	AMG820	CEFTAZIDIME	CHEMBL44354	
CD2	TTDS00368	914	TTD	antibody	DCL000985	SIPLIZUMAB	SIPLIZUMAB	CHEMBL2108742	
LNPEP	1570	4012	GuideToPharmacologyInteractions	inhibitor	8666	COMPOUND 17 [PMID: 23916253]			
MET	TTDC00110	4233	TTD	stimulator	DPR000077	MTERON-F1	RILONACEPT	CHEMBL1201830	
PDGFA	PDGFA	5154	MyCancerGenomeClinicalTrial	inhibitor	SUNITINIB	SUNITINIB	SUNITINIB	CHEMBL535	
CLEC4C	BDCA2	170482	ChemblInteractions	inhibitor	CHEMBL3833308	BIIB059	BIIB059	CHEMBL3833308	
CD74	DHLAG	972	ChemblInteractions	antagonist	CHEMBL1743040	MILATUZUMAB	MILATUZUMAB	CHEMBL1743040	
NAMPT	PBEF	10135	ChemblInteractions	inhibitor	CHEMBL190412	TEGLARINAD CHLORIDE	TEGLARINAD CHLORIDE	CHEMBL190412	
RHD	RHD	6007	ChemblInteractions	inhibitor	CHEMBL2107859	ROZROLIMUPAB	ROZROLIMUPAB	CHEMBL2107859	
TRPM8	LTRPC6	79054	ChemblInteractions	agonist	CHEMBL3707315	D-3263	D-3263	CHEMBL3707315	
ITPR3	745	3710	GuideToPharmacologyInteractions	activator	4222	IP3	"INS(1,4,5)P3"	CHEMBL279107	
PI4K2B	2499	55300	GuideToPharmacologyInteractions	inhibitor	2844	ADENOSINE	ADENOSINE	CHEMBL477	
CCR2	59	729230	GuideToPharmacologyInteractions	allosteric modulator	9431	CCR2-RA-[R]	MIBEFRADIL	CHEMBL45816	
TRPV3	TRPV3	162514	ChemblInteractions	antagonist	CHEMBL3707319	GRC-15300	GRC-15300	CHEMBL3707319	
EPCAM	GA733-2	4072	ChemblInteractions	inhibitor	CHEMBL2108018	ADECATUMUMAB	ADECATUMUMAB	CHEMBL2108018	
SLC19A1	1014	6573	GuideToPharmacologyInteractions	inhibitor	8890	COMPOUND 9 [PMID: 15615544]			
GJD3	722	125111	GuideToPharmacologyInteractions	inhibitor	4278	OCTANOL	OCTANOL	CHEMBL26215	
HTR1B	2	3351	GuideToPharmacologyInteractions	"agonist,antagonist"	14	GR 127935	GR-127935	CHEMBL15928	
TNNI2	TNNI2	7136	ChemblInteractions	activator	CHEMBL3039529	TIRASEMTIV	TIRASEMTIV	CHEMBL3039529	
NOTCH2	2859	4853	GuideToPharmacologyInteractions	antibody	8453	TAREXTUMAB	TAREXTUMAB	CHEMBL3301588	
P2RX7	484	5027	GuideToPharmacologyInteractions	"allosteric modulator,antagonist"	9021	AZ10606120			
TPCN1	392	53373	GuideToPharmacologyInteractions	channel blocker	2406	VERAPAMIL	VERAPAMIL	CHEMBL6966	
CDK16	PCTAIRE1	5127	ChemblInteractions	inhibitor	CHEMBL3544942	Roniciclib	Roniciclib	CHEMBL3544942	
HSP90B1	2904	7184	GuideToPharmacologyInteractions	inhibitor	9211	SEMAPIMOD	SEMAPIMOD	CHEMBL2107779	
NEK2	2117	4751	GuideToPharmacologyInteractions	inhibitor	8149	COMPOUND 2 [PMID: 21627121]			
SLC9A5	952	6553	GuideToPharmacologyInteractions	inhibitor	2421	AMILORIDE	AMILORIDE	CHEMBL945	
GABRG2	GABRG2	2566	ChemblInteractions	inverse agonist	CHEMBL2107801	RESEQUINIL	RESEQUINIL	CHEMBL2107801	
SCN1A	578	6323	GuideToPharmacologyInteractions	activator	2619	BATRACHOTOXIN			
NDUFB11	NDUFB11	54539	ChemblInteractions	inhibitor	CHEMBL3545320	ME-344	ME-344	CHEMBL3545320	
GABRG2	GABRG2	2566	ChemblInteractions	agonist	CHEMBL979	MEPROBAMATE	MEPROBAMATE	CHEMBL979	
CASR	GPRC2A	846	ChemblInteractions	antagonist	CHEMBL1198855	RONACALERET	RONACALERET	CHEMBL1198855	
KCNQ4	563	9132	GuideToPharmacologyInteractions	channel blocker	2343	TETRAETHYLAMMONIUM			
TRPA1	ANKTM1	8989	ChemblInteractions	antagonist	CHEMBL3707318	GRC-17536	GRC-17536	CHEMBL3707318	
ALOX12	1387	239	GuideToPharmacologyInteractions	inhibitor	8752	ML355			
CTLA4	CD152	1493	ChemblInteractions	inhibitor	CHEMBL2108658	TREMELIMUMAB	TREMELIMUMAB	CHEMBL2108658	
ARSC2	413	413	GuideToPharmacologyInteractions	channel blocker	4051	PICROTOXIN	PICROTOXIN	CHEMBL1908342	
FN1	TTDC00012	2335	TTD	binder	DCL000055	AS1409	AS-1409	CHEMBL2109413	
PPIB	TTDS00417	5479	TTD	binder	DAP000198	L-PROLINE	L-PROLINE	CHEMBL54922	
EPHB2	DRT	2048	ChemblInteractions	inhibitor	CHEMBL24828	VANDETANIB	VANDETANIB	CHEMBL24828	
GRIK1	450	2897	GuideToPharmacologyInteractions	allosteric modulator	4162	CONCANAVALIN A	METHYPRYLON	CHEMBL1200790	
STAT1	TTDC00113	6772	TTD	inhibitor	DCL000060	AVT-02 UE			
GLRB	GLRB	2743	ChemblInteractions	agonist	CHEMBL1341	METHOXYFLURANE	METHOXYFLURANE	CHEMBL1341	
HNF4A	608	3172	GuideToPharmacologyInteractions	antagonist	6695	BI6015			
PTPRF	1855	5792	GuideToPharmacologyInteractions	inhibitor	8770	ILLUDALIC ACID	ILLUDALIC ACID	CHEMBL506661	
PASK	2139	23178	GuideToPharmacologyInteractions	inhibitor	5704	PP-242			
NEK1	2114	4750	GuideToPharmacologyInteractions	inhibitor	8180	COMPOUND 31 [PMID: 20936789]	UNDECANOATE	CHEMBL108030	
F10	TTDS00203	2159	TTD	activator	DAP000964	COAGULATION FACTOR IX	CHOLESTEROL	CHEMBL112570	
TMPRSS6	2422	164656	GuideToPharmacologyInteractions	inhibitor	8624	"INHIBITOR 1 [COLOMBO ET AL., 2012]"			
CACNG4	CACNG4	27092	ChemblInteractions	blocker	CHEMBL1200382	BEPRIDIL HYDROCHLORIDE	BEPRIDIL HYDROCHLORIDE	CHEMBL1200382	
EHMT1	2651	79813	GuideToPharmacologyInteractions	inhibitor	7017	UNC0642	CHEMBL2441082	CHEMBL2441082	
CFD	TTDC00326	1675	TTD	antibody	DCL001143	ANTI-FACTOR D	LAMPALIZUMAB	CHEMBL2109408	
RPS6KA4	1524	8986	GuideToPharmacologyInteractions	inhibitor	8763	COMPOUND 8 [PMID: 17480064]	PAPAVERINE	CHEMBL19224	
PADI3	2878	51702	GuideToPharmacologyInteractions	inhibitor	8684	COMPOUND 14B [PMID: 25742366]			
AKT1	AKT1	207	CancerCommons	inhibitory allosteric modulator	MK2206	MK2206	MK-2206	CHEMBL1079175	
GABRA1	GABRA1	2554	ChemblInteractions	inverse agonist	CHEMBL2107801	RESEQUINIL	RESEQUINIL	CHEMBL2107801	
SLC7A5	896	8140	GuideToPharmacologyInteractions	inhibitor	9347	KYT-0353			
